Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
SP1,2012-05-01,Sp Gijon,Villarreal,2,3,A,1,2,A,22,10,5,8,19,9,9,5,5,5,0,1,2011-2012
SP1,2012-05-02,Ath Bilbao,Real Madrid,0,3,A,0,2,A,11,18,2,10,13,20,4,8,3,5,1,0,2011-2012
SP1,2012-05-02,Ath Madrid,Sociedad,1,1,D,0,0,D,13,16,1,5,14,9,6,10,2,1,1,0,2011-2012
SP1,2012-05-02,Barcelona,Malaga,4,1,H,2,1,H,11,11,6,3,17,14,4,1,2,2,0,0,2011-2012
SP1,2012-05-02,Mallorca,Vallecano,1,0,H,0,0,D,20,15,8,6,15,8,9,4,2,4,0,0,2011-2012
SP1,2012-05-02,Sevilla,Betis,1,2,A,1,1,D,12,15,3,3,18,14,9,4,3,4,1,0,2011-2012
SP1,2012-05-02,Valencia,Osasuna,4,0,H,0,0,D,23,11,9,3,8,11,17,2,1,5,0,1,2011-2012
SP1,2012-05-02,Zaragoza,Levante,1,0,H,1,0,H,12,11,5,4,15,14,2,10,5,5,0,0,2011-2012
SP1,2012-05-05,Ath Bilbao,Getafe,0,0,D,0,0,D,16,11,1,1,11,10,8,2,1,3,0,0,2011-2012
SP1,2012-05-05,Ath Madrid,Malaga,2,1,H,0,1,A,9,13,2,4,20,14,8,5,6,2,0,0,2011-2012
SP1,2012-05-05,Barcelona,Espanol,4,0,H,1,0,H,14,10,6,3,13,24,5,3,4,5,0,0,2011-2012
SP1,2012-05-05,Granada,Real Madrid,1,2,A,1,0,H,12,14,5,3,13,14,4,6,4,4,2,0,2011-2012
SP1,2012-05-05,Mallorca,Levante,1,0,H,0,0,D,10,7,3,2,13,5,6,5,1,3,0,0,2011-2012
SP1,2012-05-05,Osasuna,Sociedad,1,0,H,1,0,H,18,13,10,3,24,13,4,4,5,1,0,0,2011-2012
SP1,2012-05-05,Sevilla,Vallecano,5,2,H,2,1,H,15,13,8,3,13,10,5,5,3,5,0,0,2011-2012
SP1,2012-05-05,Sp Gijon,Betis,2,1,H,1,1,D,12,15,3,8,19,16,4,4,2,3,0,0,2011-2012
SP1,2012-05-05,Valencia,Villarreal,1,0,H,0,0,D,17,9,7,3,16,16,8,3,5,3,0,0,2011-2012
SP1,2012-05-05,Zaragoza,Santander,2,1,H,1,1,D,29,2,8,2,17,21,12,1,3,6,0,0,2011-2012
SP1,2012-05-12,Betis,Barcelona,2,2,D,0,1,A,5,11,3,6,15,11,2,7,2,0,0,1,2011-2012
SP1,2012-05-12,Sociedad,Valencia,1,0,H,0,0,D,13,19,6,2,14,10,7,14,2,0,0,0,2011-2012
SP1,2012-05-13,Espanol,Sevilla,1,1,D,0,1,A,9,17,4,6,14,16,8,7,4,2,0,0,2011-2012
SP1,2012-05-13,Getafe,Zaragoza,0,2,A,0,0,D,3,12,0,4,22,18,0,6,2,4,3,1,2011-2012
SP1,2012-05-13,Levante,Ath Bilbao,3,0,H,1,0,H,12,9,4,5,3,8,4,6,1,0,0,0,2011-2012
SP1,2012-05-13,Malaga,Sp Gijon,1,0,H,0,0,D,22,6,12,1,10,24,10,1,3,5,1,0,2011-2012
SP1,2012-05-13,Real Madrid,Mallorca,4,1,H,2,0,H,23,11,12,5,7,16,8,6,0,1,0,0,2011-2012
SP1,2012-05-13,Santander,Osasuna,2,4,A,1,0,H,7,27,2,13,11,9,0,9,0,2,0,0,2011-2012
SP1,2012-05-13,Vallecano,Granada,1,0,H,0,0,D,18,12,2,5,19,14,9,6,3,4,0,0,2011-2012
SP1,2012-05-13,Villarreal,Ath Madrid,0,1,A,0,0,D,10,11,1,4,9,18,6,4,2,2,0,0,2011-2012
SP1,2010-08-28,Hercules,Ath Bilbao,0,1,A,0,0,D,9,14,3,5,15,18,10,1,2,4,1,0,2010-2011
SP1,2010-08-28,Levante,Sevilla,1,4,A,1,2,A,7,14,4,8,20,22,4,2,4,4,0,0,2010-2011
SP1,2010-08-28,Malaga,Valencia,1,3,A,1,1,D,19,21,5,8,16,15,7,10,2,5,0,0,2010-2011
SP1,2010-08-29,Espanol,Getafe,3,1,H,1,0,H,17,13,8,1,17,9,8,4,3,4,0,0,2010-2011
SP1,2010-08-29,La Coruna,Zaragoza,0,0,D,0,0,D,8,8,2,3,16,19,4,6,0,1,0,0,2010-2011
SP1,2010-08-29,Mallorca,Real Madrid,0,0,D,0,0,D,7,16,2,5,16,15,1,4,2,2,0,0,2010-2011
SP1,2010-08-29,Osasuna,Almeria,0,0,D,0,0,D,13,3,2,0,22,18,9,3,4,1,0,1,2010-2011
SP1,2010-08-29,Santander,Barcelona,0,3,A,0,2,A,11,9,7,5,21,14,6,5,4,1,0,0,2010-2011
